3-d;"3-D"
virtual folder;"ថត​និម្មិត"
virtual;""
virus definition;"និយមន័យ​មេរោគ"
virus;"មេរោគ"
visibility;""
visible;""
visit;""
visited;""
visual aids;"ជំនួយ​រូបភាព"
visual;"នៃ​ចក្ខុ"
visualization;"រូបភាព​មើលឃើញ"
visualizer;"ម៉ាកែត"
voice chat;"ការ​ជជែក​កំសាន្ត​ជា​សម្លេង"
voice;""
voip;""
volatile button;"ប៊ូតុង​មិន​ឋិតថេរ"
volume control;""
volume down;""
volume up;""
volume;"ភាគ"
wait;""
waiting;""
wallpaper;"ក្រដាស​បិទ​ជញ្ជាំង"
wan (wide area network);"បណ្ដាញ​​ធំ​ទូលាយ"
want;""
warn;"ព្រមាន"
warning;"ការ​ព្រមាន"
warranty;""
watch file;""
watch;"ឃ្លាំ​មើល"
watched;""
watching;""
watermark;"ព្រាលៗ"
way;"មធ្យោបាយ"
weather;""
web blog;"មើល Weblog"
web browser;""
web cam;""
web layout;"ប្លង់ជា​បណ្ដាញ"
web master;""
web page;"ទំព័របណ្ដាញ"
web portal;"ខ្លោង​ទ្វារ​បណ្ដាញ"
web search;""
web site;"តំបន់បណ្ដាញ"
web;"បណ្ដាញ"
webcam;""
webcast;""
webcasting;"ការ​ផ្សាយ​តាម​បណ្ដាញ"
weblog;"កំណត់ហេតុ​បណ្ដាញ"
webmail;"សំបុត្រ​បណ្ដាញ"
webmaster;"ប្រធាន​បណ្ដាញ"
website;""
webtop;"ផ្ទៃ​បណ្ដាញ"
wednesday;""
week view;""
week;""
weekday;""
weight;""
welcome;""
west;""
western;"លោក​ខាង​លិច"
what's this;""
when;""
whenever;""
where;""
white;""
whitespace;""
whois;""
whole;"ទាំងមូល"
wi fi;""
widget;"ធាតុ​ក្រាហ្វិក"
widow;"មេម៉ាយ"
width of the window;""
width;"ទទឹង"
wiki;""
wild card;""
wildcard character;"តួអក្សរ​ជំនួស"
wildcard;""
window frame button;""
window frame;""
window group;""
window list;""
window manager;"កម្មវិធី​គ្រប់គ្រង​បង្អួច"
window position;""
window title;""
window type;""
window;"បង្អួច"
windows network;""
wink (smiley);"មិចភ្នែក"
wipe;"លុប"
wireless;""
with due date;""
with status;""
with;""
within;""
without;""
wizard;"អ្នក​ជំនួយការ"
wizards;""
wood;""
word art;"សិល្បៈ​អក្សរ"
word count;"ចំនួន​ពាក្យ"
word processing program;"កម្មវិធី​វាយ​អត្ថបទ"
word processor;"មើល Word Processing Program"
word;""
work around;""
work group;""
work offline;""
work station;""
work week view;""
work week;""
work;""
workbook;"សៀវភៅ​កិច្ចការ"
workday;"ថ្ងៃ​ធ្វើការ"
workgroup;"ក្រុម​ការងារ"
working directory;""
workplace;"កន្លែង​ធ្វើការ"
worksheet;"សន្លឹក​កិច្ចការ"
workspace names;""
workspace switcher;""
workspace;"តំបន់​ធ្វើការ"
workspaces;""
workstation;""
world wide web (www);"វើលវ៉ាយវិប"
worm;"ដង្កូវ"
wrap mode;""
wrap through;"រុំ​កាត់"
wrap;"រុំ"
writable;""
write protected;"ការពារ​មិន​ឲ្យ​សរសេរ​ចូល"
write to disc;""
write;""
writer;""
writing aids;"ជំនួយ​សរសេរ"
writing;""
wrong;""
wvlan;""
www / world wide web;""
x align;""
x server;""
xdmcp socket;""
xml filter settings;""
xml;""
xrandr;""
yell (smiley);"ស្រែក"
yellow pages;"ទំព័រ​លឿង"
yellow;""
yes;""
yesterday;""
zero;""
zigzag;"ក្ងិចក្ងក់"
zigzagline;""
zip disk;"ថាស​ហ្ស៊ីប"
zip drive;""
zip;""
zone;"តំបន់"
zoom in;"ពង្រីក"
zoom level;""
zoom out;"បង្រួម"
zoom outabort;""
zoom;"ពង្រីក"
zoomed;""
zooming;""
